order,url,label
1,https://pikohost.sbs,legit
2,http://42.52.202.61:34556/bin.sh,phish
3,http://objective-goldberg.196-251-72-149.plesk.page/1.sh,phish
4,http://213.209.143.167/laced.mips,phish
5,https://saferweb.site,legit
6,https://midnightdreamsreborns.com,legit
7,http://176.46.152.62:5858/77c68d8ad5dc42758caedb23cdbefbd4_crypted_build.exe,phish
8,https://cxem.net,legit
9,http://88.243.214.56:34844/i,phish
10,http://138.204.196.254:46266/bin.sh,phish
11,https://qb.h8o4g.ru/1n.check?t=csni2tlc,phish
12,https://qb.vamuwe.ru/1n7.check?t=2c5nedl6,phish
13,http://193.111.248.238/hiddenbin/boatnet.arm5,phish
14,http://60.161.47.84:37152/bin.sh,phish
15,https://smash.com.ua,legit
16,http://195.248.240.141/hiddenbin/boatnet.mips,phish
17,http://78.188.91.108:50575/bin.sh,phish
18,https://ldflooring.cn,legit
19,https://hkwlhim.com,legit
20,http://109.108.84.121:28531/Mozi.m,phish
21,http://123.8.119.54:37115/bin.sh,phish
22,http://219.157.176.57:36777/bin.sh,phish
23,http://42.227.196.70:55824/i,phish
24,https://p7.ko-lu.ru/5o.google?t=7v7bceu3,phish
25,http://196.251.71.207/bot/mynode.armv4_32,phish
26,http://suivimondialrelay-colis.info/bins/nwfaiehg4ewijfgriehgirehaughrarg.m68k,phish
27,https://wetgiw.gov.pl,legit
28,http://182.121.153.247:52220/i,phish
29,https://www.first-security-verden.de/,phish
30,http://n8n.heroxhost.com/sexyug/spc,phish
31,http://156.226.174.33/bot.arm7,phish
32,https://uv4.r4tu.ru/0l.check?t=z1gua1dm,phish
33,https://softsdownlod.pro/?uid=18&sid=7,phish
34,http://175.148.72.52:52258/bin.sh,phish
35,http://157.20.32.209/bins/morte.mpsl,phish
36,https://raw.githubusercontent.com/VetiGoders/lavidaloca/refs/heads/main/PDFEscape.zip,phish
37,http://201.16.194.227:2550/TmpFTP/LOG_AJUSTEFOS/0021/001/01-2020/11/info.zip,phish
38,http://176.65.148.113/where/botx.arm6,phish
39,https://rv.h-73-n.ru/j6e.check?t=bysoz5b1,phish
40,https://4ol.ndoq0.ru/xa.google?t=0cg08d18,phish
41,http://88.214.50.76/SyncClient.exe,phish
42,http://hometrack-be-package.com/bins/nwfaiehg4ewijfgriehgirehaughrarg.x86_64,phish
43,http://115.51.45.159:48905/bin.sh,phish
44,http://42.228.100.190:55848/bin.sh,phish
45,http://66.187.4.32/i686,phish
46,https://167.250.49.155/bin/billi_e58d74e455634dc695ed8a7b8b320325.exe.upx.exe,phish
47,http://105.186.155.48:8085/sshd,phish
48,http://177.70.102.228:8070/TmpFTP/01/Carta%20de%20Corre%C3%A7%C3%A3o/2022-02-21/info.zip,phish
49,http://125.46.241.164:53616/i,phish
50,http://201.16.194.227:2550/TmpFTP/LOG_AJUSTEFOS/0021/001/08-2020/15/info.zip,phish
51,http://115.58.124.65:58103/i,phish
52,http://42.235.52.123:57080/i,phish
53,https://p0.62xm.ru/5drrqyvh3s.f4v,phish
54,http://202.107.235.202:8008/iis/file/sorder/241225-087/info.zip,phish
55,http://203.58.85.190:38206/i,phish
56,http://relayparcel-help.info/bins/nwfaiehg4ewijfgriehgirehaughrarg.arm6,phish
57,https://img1.wsimg.com/blobby/go/88933df5-ca10-43b5-b140-6aa02868b89c/downloads/87076889980.pdf,phish
58,https://c0rn.fa-0-n.ru/vbnzw9fdi6.map,phish
59,https://icarp.pl,legit
60,http://115.49.0.222:59163/bin.sh,phish
61,https://oooinex.ru,legit
62,https://ckewaste.com,legit
63,http://178.16.55.70/v19239.exe,phish
64,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Delhi/Charter%20Parties/CHINA%20SHIPPING/info.zip,phish
