order,Url,Label
1,http://201.16.194.227:2550/TmpFTP/EXTCONS/1/0021/30062020090329/info.zip,phish
2,https://vietsubphim.org,legit
3,http://222.127.49.90:59770/bin.sh,phish
4,https://tj3.ye-t5c.ru/hw70vn9q80.4sh,phish
5,https://jd.gr-3-e-4.ru/donap1reew.vsix,phish
6,http://108.28.87.140:8000/stager.ps1,phish
7,http://121.184.128.134/01/23/11/11/09/info.zip,phish
8,http://82.147.85.212/aws,phish
9,http://94.43.139.153:56656/Mozi.a,phish
10,http://178.16.55.189/files/5917492177/YlON1Mf.exe,phish
11,https://ohio4h.org,legit
12,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Delhi/Anshul/anshul%20archieve/New%20Folder/info.zip,phish
13,http://173.215.79.96/linux_arm7,phish
14,http://123.8.172.183:58688/i,phish
15,http://185.132.53.116/m-6.8-k.Sakura,phish
16,https://bitbucket.org/nbiuityt/replot/raw/main/payload_1756486488_7258.txt,phish
17,https://bbcmaestro.com,legit
18,https://tvin.com.ua,legit
19,https://89.c70ye.ru/6eg0c7jp,phish
20,http://42.226.71.130:37992/i,phish
21,https://7k.kjyx7.ru/juh.google?t=8wlo8cn3,phish
22,http://190.186.28.36:62930/.i,phish
23,http://42.232.182.81:36931/i,phish
24,http://45.153.34.54/.irqphual,phish
25,http://kasi.infinityfreeapp.com/arquivo_76c2dd2401a8425a834c3d8a5866827b.txt,phish
26,http://78.166.214.64:55743/i,phish
27,http://91.164.39.142:50004/sshd,phish
28,http://172.95.161.66:37061/i,phish
29,http://849617-binance.com/d/akido.sh4,phish
30,http://123.11.74.7:52453/bin.sh,phish
31,http://dossier4729.com/bins/nwfaiehg4ewijfgriehgirehaughrarg.arm7,phish
32,https://anbangbs.com,legit
33,http://196.251.84.79/bins/sora.arm7,phish
34,http://58.22.95.122:6868/20240103%E8%8B%B1%E8%AF%AD%E5%90%AC%E8%AF%B4%E6%9C%9F%E6%9C%AB%E5%BD%95%E9%9F%B3/%E5%BD%B1%E8%A7%86%E6%8A%80%E6%9C%AF%E7%8F%AD/119%E9%A9%AC%E9%9B%AF%E5%A9%B7-%E6%97%A0/Photo.scr,phish
35,http://177.70.102.228:8070/TmpFTP/TD00000000000000171452/info.zip,phish
36,https://idealit01.com,legit
37,http://202.107.235.202:8088/iis/file/sorder/220217-062/images/info.zip,phish
38,http://103.20.103.50/spc,phish
39,https://3xchina.net,legit
40,http://177.70.102.228:8070/TmpFTP/01/Carta%20de%20Corre%C3%A7%C3%A3o/2020-10-08/info.zip,phish
41,http://219.154.35.87:44569/i,phish
42,http://170.233.57.187:54632/bin.sh,phish
43,http://leotech-n8n-webhook.bdkyqo.easypanel.host/systemcl/arm6,phish
44,http://peaceful-gates.196-251-72-149.plesk.page/bins/nwfaiehg4ewijfgriehgirehaughrarg.arm,phish
45,http://81.42.249.132:1080/R-02-RADIOLE/10%2008%202025/info.zip,phish
46,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Mumbai/Fixtures%202008/MV.GEM%20OF%20AQABA_DAEWOO_300408_013/info.zip,phish
47,https://designbygraphite.com,legit
48,https://plpbm.com,legit
49,http://42.55.20.251:46689/bin.sh,phish
50,http://95.15.12.11:34902/Mozi.m,phish
51,http://202.107.235.202:8008/%E5%B8%B8%E7%94%A8%E8%BD%AF%E4%BB%B6/SQLFULL_CHS/x86/Setup/sql_engine_core_shared_loc_msi/2052/PFiles/SqlServr/100/COM/Res/2052/info.zip,phish
52,https://tombraidergirl.net,legit
53,http://111.59.254.165:8084/20250726/AV.lnk,phish
54,http://91.208.197.196/hiddenbin/boatnet.sh4,phish
55,https://sanatoriy-rush.ru,legit
56,https://8.137.114.210:4433/02.08.2022.exe,phish
57,http://v2202507289248365122.bestsrv.de/arm4,phish
58,http://103.20.213.34:8080/Uploads/Uploads/Aryacorp%20Singapore%20Operations/Charterparties_Misc_Docs/2011/67_LOK_PREM_HMM_02_03_2011/Working%20Copy/info.zip,phish
59,http://222.140.132.147:53777/i,phish
